days_left,task_type,effort_hours,course_credit,attendance_risk,consistency,overdue_count,label
6,4,8,4,2,0.67,2,2
10,4,5,3,2,0.41,1,2
11,2,6,1,0,0.77,1,0
12,4,9,0,2,0.77,1,2
11,4,3,6,0,0.43,2,2
4,1,7,1,0,0.98,1,1
8,2,5,1,2,0.81,0,1
14,3,1,3,1,0.8,1,0
5,2,4,5,0,0.98,1,1
1,2,4,7,1,0.52,0,2
7,1,2,4,1,0.98,0,0
12,3,1,8,2,0.65,0,1
7,4,3,0,2,0.87,2,1
9,3,9,6,0,0.77,1,0
6,3,8,4,2,0.75,1,1
2,1,3,4,2,0.83,0,1
9,3,7,10,0,0.83,1,1
11,1,3,6,0,0.59,1,1
6,3,4,6,2,0.82,1,1
12,2,9,4,1,0.67,1,1
10,4,7,8,2,0.94,0,2
10,2,9,3,0,0.92,2,1
7,3,9,4,0,0.47,2,1
5,4,8,8,0,0.44,1,2
11,2,7,1,2,0.58,0,2
0,3,1,1,1,0.65,2,1
0,1,3,1,0,0.69,1,1
6,4,7,10,2,0.55,1,2
4,4,2,5,1,0.72,0,1
11,3,6,2,2,0.53,1,1
14,3,4,6,0,0.81,2,1
7,1,9,8,1,0.95,1,1
2,3,9,3,0,0.55,1,1
4,1,7,8,0,0.61,2,2
7,2,8,0,2,0.96,1,2
3,2,3,8,2,0.98,1,2
13,2,2,5,2,0.79,0,1
0,4,1,4,2,0.83,0,2
11,3,3,5,2,0.55,1,1
5,1,3,5,2,0.66,0,1
0,4,1,4,0,0.7,2,2
0,4,1,4,1,0.62,0,1
7,1,1,4,2,0.98,0,1
14,1,5,6,0,0.59,1,1
9,3,6,9,2,0.74,1,2
14,2,7,1,2,0.71,1,1
0,4,1,8,2,0.83,2,2
9,3,3,1,0,0.77,1,0
8,4,4,0,1,0.88,2,1
14,4,2,1,2,0.8,2,1
9,3,6,9,1,0.42,1,1
14,2,5,0,0,0.56,0,0
3,2,4,2,2,0.48,0,2
11,2,3,0,2,0.66,1,1
9,1,5,6,2,0.82,0,1
9,2,1,1,1,0.46,0,1
12,1,1,6,2,0.66,0,1
2,4,3,4,1,0.41,1,2
